empty silica, 18.11.2024, 17:10
Diameter[mm] 1.900e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 1.0444e+00	 3.2246e-03	 1.7931e-09	-2.4679e-08	 1.3103e-11	 3.9340e+06	 2.8936e+02	 1.0220e+01
 3.1646e+05	 0.0000e+00	 1.0454e+00	 7.9979e-03	 1.4074e-09	-7.9816e-09	 1.3115e-11	 5.0121e+06	 2.8935e+02	 1.2660e+01
 1.0014e+05	 0.0000e+00	 1.0500e+00	 1.7515e-02	 9.7534e-10	-2.7848e-09	 1.3174e-11	 7.2323e+06	 2.8934e+02	 1.5300e+01
 3.1691e+04	 0.0000e+00	 1.0551e+00	 4.1606e-02	 7.3319e-10	-9.7152e-10	 1.3238e-11	 9.6210e+06	 2.8933e+02	 1.7940e+01
 1.0029e+04	 0.0000e+00	 1.0620e+00	 1.1761e-01	 6.5590e-10	-3.4580e-10	 1.3324e-11	 1.0755e+07	 2.8930e+02	 2.0720e+01
 3.1737e+03	 0.0000e+00	 1.0834e+00	 3.5655e-01	 6.2923e-10	-1.4720e-10	 1.3593e-11	 1.1210e+07	 2.8930e+02	 2.3350e+01
 1.0043e+03	 0.0000e+00	 1.1824e+00	 1.0807e+00	 6.0357e-10	-1.0185e-10	 1.4834e-11	 1.1687e+07	 2.8929e+02	 2.6100e+01
 3.1783e+02	 0.0000e+00	 1.5601e+00	 3.2475e+00	 5.7394e-10	-9.8984e-11	 1.9573e-11	 1.2290e+07	 2.8925e+02	 3.1240e+01
 1.0058e+02	 0.0000e+00	 2.8370e+00	 9.5168e+00	 5.3225e-10	-1.0274e-10	 3.5594e-11	 1.3253e+07	 2.8925e+02	 3.3800e+01
 3.1829e+01	 0.0000e+00	 6.6537e+00	 2.6751e+01	 4.7345e-10	-1.0006e-10	 8.3478e-11	 1.4899e+07	 2.8924e+02	 3.6610e+01
 1.0072e+01	 0.0000e+00	 1.7119e+01	 7.1986e+01	 4.0318e-10	-9.0277e-11	 2.1477e-10	 1.7496e+07	 2.8923e+02	 3.9720e+01
 3.1874e+00	 0.0000e+00	 4.5743e+01	 1.8780e+02	 3.3286e-10	-7.9304e-11	 5.7390e-10	 2.1192e+07	 2.8922e+02	 4.3100e+01
 1.0087e+00	 0.0000e+00	 1.1700e+02	 4.7533e+02	 2.6661e-10	-6.5065e-11	 1.4679e-09	 2.6458e+07	 2.8921e+02	 4.6450e+01
 1.0000e+06	 4.4000e+01	 1.0447e+00	 3.2885e-03	 1.8286e-09	-2.4851e-08	 1.3107e-11	 3.8575e+06	 2.8918e+02	 5.3500e+01
 3.1646e+05	 4.4000e+01	 1.0459e+00	 8.0952e-03	 1.4245e-09	-8.0791e-09	 1.3122e-11	 4.9519e+06	 2.8918e+02	 5.5970e+01
 1.0014e+05	 4.4000e+01	 1.0506e+00	 1.7639e-02	 9.8225e-10	-2.8197e-09	 1.3181e-11	 7.1814e+06	 2.8916e+02	 5.8800e+01
 3.1691e+04	 4.4000e+01	 1.0561e+00	 4.1766e-02	 7.3601e-10	-9.8833e-10	 1.3250e-11	 9.5841e+06	 2.8916e+02	 6.1410e+01
 1.0029e+04	 4.4000e+01	 1.0634e+00	 1.1768e-01	 6.5625e-10	-3.5329e-10	 1.3341e-11	 1.0749e+07	 2.8915e+02	 6.4220e+01
 3.1737e+03	 4.4000e+01	 1.0828e+00	 3.5484e-01	 6.2622e-10	-1.4613e-10	 1.3585e-11	 1.1264e+07	 2.8914e+02	 6.6850e+01
 1.0043e+03	 4.4000e+01	 1.1626e+00	 1.0765e+00	 6.0122e-10	-9.0835e-11	 1.4587e-11	 1.1733e+07	 2.8914e+02	 6.9600e+01
 3.1783e+02	 4.4000e+01	 1.4915e+00	 3.2545e+00	 5.7517e-10	-8.6856e-11	 1.8712e-11	 1.2264e+07	 2.8913e+02	 7.4910e+01
 1.0058e+02	 4.4000e+01	 2.6629e+00	 9.3995e+00	 5.2569e-10	-9.3000e-11	 3.3409e-11	 1.3418e+07	 2.8912e+02	 7.7470e+01
 3.1829e+01	 4.4000e+01	 6.4652e+00	 2.5733e+01	 4.5544e-10	-9.6727e-11	 8.1114e-11	 1.5488e+07	 2.8911e+02	 8.0360e+01
 1.0072e+01	 4.4000e+01	 1.6972e+01	 6.7601e+01	 3.7862e-10	-8.9459e-11	 2.1294e-10	 1.8631e+07	 2.8910e+02	 8.3410e+01
 3.1874e+00	 4.4000e+01	 4.4990e+01	 1.7265e+02	 3.0601e-10	-7.7969e-11	 5.6445e-10	 2.3052e+07	 2.8909e+02	 8.6850e+01
 1.0087e+00	 4.4000e+01	 1.1311e+02	 4.2187e+02	 2.3662e-10	-6.2880e-11	 1.4191e-09	 2.9811e+07	 2.8908e+02	 9.0200e+01
 1.0000e+06	 8.7700e+01	 1.0450e+00	 3.4584e-03	 1.9231e-09	-2.5011e-08	 1.3110e-11	 3.6681e+06	 2.8906e+02	 9.7030e+01
 3.1646e+05	 8.7700e+01	 1.0463e+00	 8.2250e-03	 1.4473e-09	-8.1539e-09	 1.3127e-11	 4.8737e+06	 2.8905e+02	 9.9470e+01
 1.0014e+05	 8.7700e+01	 1.0514e+00	 1.7816e-02	 9.9213e-10	-2.8617e-09	 1.3191e-11	 7.1099e+06	 2.8905e+02	 1.0191e+02
 3.1691e+04	 8.7700e+01	 1.0573e+00	 4.1525e-02	 7.3176e-10	-1.0094e-09	 1.3265e-11	 9.6397e+06	 2.8903e+02	 1.0485e+02
