, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 1.2200e+02	 1.8040e+00	 3.5746e-02	 4.8528e-12	-1.0914e-10	 1.4106e-11	 2.3322e+09	 2.8958e+02	 1.6012e+02
 1.2207e+02	 1.2200e+02	 1.8185e+00	 4.1749e-02	 2.8339e-12	-5.5557e-11	 1.4220e-11	 3.9937e+09	 2.8958e+02	 1.6275e+02
 6.1035e+01	 1.2200e+02	 1.8350e+00	 5.1376e-02	 1.7437e-12	-2.8338e-11	 1.4349e-11	 6.4908e+09	 2.8957e+02	 1.6568e+02
 3.0518e+01	 1.2200e+02	 1.8551e+00	 6.6073e-02	 1.1212e-12	-1.4510e-11	 1.4506e-11	 1.0094e+10	 2.8957e+02	 1.6862e+02
 1.5259e+01	 1.2200e+02	 1.8812e+00	 8.8828e-02	 7.5369e-13	-7.4772e-12	 1.4711e-11	 1.5016e+10	 2.8956e+02	 1.7139e+02
 7.6294e+00	 1.2200e+02	 1.9158e+00	 1.2314e-01	 5.2241e-13	-3.8850e-12	 1.4981e-11	 2.1664e+10	 2.8955e+02	 1.7450e+02
 1.9073e+00	 1.2200e+02	 2.0394e+00	 2.5446e-01	 2.6988e-13	-1.1024e-12	 1.5947e-11	 4.1936e+10	 2.8955e+02	 1.7798e+02
 4.7684e-01	 1.2200e+02	 2.3440e+00	 4.9089e-01	 1.3016e-13	-3.5637e-13	 1.8329e-11	 8.6953e+10	 2.8952e+02	 1.8725e+02
 1.0000e-01	 1.2200e+02	 2.1104e+00	 8.9958e-01	 5.0022e-14	-6.1744e-14	 1.6502e-11	 2.2625e+11	 2.8940e+02	 2.3233e+02
 1.0000e+06	 2.2960e+02	 1.6337e+00	 1.8819e-01	 1.0465e-07	-3.5239e-07	 1.2775e-11	 1.0815e+05	 2.8939e+02	 2.3650e+02
 5.0000e+05	 2.2960e+02	 1.6680e+00	 4.9410e-02	 1.3737e-08	-1.8572e-07	 1.3043e-11	 8.2386e+05	 2.8938e+02	 2.3903e+02
 2.5000e+05	 2.2960e+02	 1.6718e+00	 9.6477e-02	 1.3412e-08	-9.3391e-08	 1.3073e-11	 8.4386e+05	 2.8938e+02	 2.4150e+02
 1.2500e+05	 2.2960e+02	 1.6860e+00	 6.6732e-02	 4.6384e-09	-4.7683e-08	 1.3184e-11	 2.4400e+06	 2.8937e+02	 2.4418e+02
 6.2500e+04	 2.2960e+02	 1.7012e+00	 5.6087e-02	 1.9492e-09	-2.4370e-08	 1.3303e-11	 5.8062e+06	 2.8936e+02	 2.4662e+02
 3.1250e+04	 2.2960e+02	 1.7085e+00	 3.6366e-02	 6.3193e-10	-1.2311e-08	 1.3359e-11	 1.7910e+07	 2.8934e+02	 2.4953e+02
 1.5625e+04	 2.2960e+02	 1.7182e+00	 3.2945e-02	 2.8624e-10	-6.2398e-09	 1.3435e-11	 3.9538e+07	 2.8934e+02	 2.5218e+02
