, 19.12.2024, 18:44
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 1.1070e+02	 5.5449e+00	 1.0657e+00	 1.4468e-10	-6.1701e-10	 4.3359e-11	 7.8228e+07	 3.2315e+02	 1.5370e+02
 1.2207e+02	 1.1070e+02	 5.9518e+00	 1.3306e+00	 9.0317e-11	-3.3612e-10	 4.6540e-11	 1.2531e+08	 3.2315e+02	 1.5628e+02
 6.1035e+01	 1.1070e+02	 6.4616e+00	 1.7746e+00	 6.0230e-11	-1.8536e-10	 5.0527e-11	 1.8791e+08	 3.2315e+02	 1.5900e+02
 3.0518e+01	 1.1070e+02	 7.1179e+00	 2.4864e+00	 4.2193e-11	-1.0382e-10	 5.5659e-11	 2.6823e+08	 3.2315e+02	 1.6200e+02
 1.5259e+01	 1.1070e+02	 7.9655e+00	 3.6521e+00	 3.0987e-11	-5.9101e-11	 6.2287e-11	 3.6523e+08	 3.2314e+02	 1.6487e+02
 7.6294e+00	 1.1070e+02	 9.1096e+00	 5.6418e+00	 2.3935e-11	-3.4404e-11	 7.1233e-11	 4.7285e+08	 3.2315e+02	 1.6731e+02
 1.9073e+00	 1.1070e+02	 1.3254e+01	 1.5395e+01	 1.6328e-11	-1.2997e-11	 1.0364e-10	 6.9314e+08	 3.2314e+02	 1.7064e+02
 4.7684e-01	 1.1070e+02	 2.3735e+01	 4.6063e+01	 1.2214e-11	-6.0281e-12	 1.8559e-10	 9.2664e+08	 3.2314e+02	 1.8212e+02
 1.0000e-01	 1.1070e+02	 5.6558e+01	 1.6658e+02	 9.2627e-12	-3.0894e-12	 4.4226e-10	 1.2219e+09	 3.2315e+02	 2.2295e+02
 1.0000e+06	 2.2020e+02	 2.4496e+00	 1.4588e-01	 8.1121e-08	-8.0609e-07	 1.9155e-11	 1.3952e+05	 3.2314e+02	 2.2997e+02
 5.0000e+05	 2.2020e+02	 2.5116e+00	 1.9454e-01	 5.4089e-08	-4.2028e-07	 1.9640e-11	 2.0924e+05	 3.2314e+02	 2.3244e+02
