, 20.12.2024, 17:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 1.0210e+02	 6.9137e+00	 2.8890e+00	 3.9220e-10	-8.0283e-10	 5.4063e-11	 2.8857e+07	 3.0316e+02	 1.4793e+02
 1.2207e+02	 1.0210e+02	 7.7933e+00	 4.4295e+00	 3.0067e-10	-4.6112e-10	 6.0940e-11	 3.7642e+07	 3.0315e+02	 1.5038e+02
 6.1035e+01	 1.0210e+02	 9.0754e+00	 7.1901e+00	 2.4403e-10	-2.7407e-10	 7.0966e-11	 4.6379e+07	 3.0315e+02	 1.5294e+02
 3.0518e+01	 1.0210e+02	 1.1049e+01	 1.2124e+01	 2.0574e-10	-1.7052e-10	 8.6395e-11	 5.5009e+07	 3.0314e+02	 1.5588e+02
 1.5259e+01	 1.0210e+02	 1.4213e+01	 2.0927e+01	 1.7756e-10	-1.1211e-10	 1.1114e-10	 6.3740e+07	 3.0315e+02	 1.5869e+02
 7.6294e+00	 1.0210e+02	 1.9521e+01	 3.6598e+01	 1.5526e-10	-7.8576e-11	 1.5265e-10	 7.2893e+07	 3.0315e+02	 1.6119e+02
 1.9073e+00	 1.0210e+02	 4.3990e+01	 1.1400e+02	 1.2091e-10	-4.5595e-11	 3.4398e-10	 9.3608e+07	 3.0314e+02	 1.6404e+02
 4.7684e-01	 1.0210e+02	 1.1882e+02	 3.5653e+02	 9.4534e-11	-3.1241e-11	 9.2916e-10	 1.1972e+08	 3.0314e+02	 1.7533e+02
 1.0000e-01	 1.0210e+02	 3.7301e+02	 1.2904e+03	 7.1752e-11	-2.0686e-11	 2.9168e-09	 1.5773e+08	 3.0315e+02	 2.0574e+02
 1.0000e+06	 2.0300e+02	 2.5942e+00	 2.0654e-01	 1.1485e-07	-8.8647e-07	 2.0286e-11	 9.8546e+04	 3.0315e+02	 2.1510e+02
 5.0000e+05	 2.0300e+02	 2.6828e+00	 2.6996e-01	 7.5057e-08	-4.6786e-07	 2.0978e-11	 1.5079e+05	 3.0315e+02	 2.1757e+02
 2.5000e+05	 2.0300e+02	 2.8043e+00	 3.5563e-01	 4.9439e-08	-2.5082e-07	 2.1928e-11	 2.2892e+05	 3.0315e+02	 2.2038e+02
 1.2500e+05	 2.0300e+02	 2.9710e+00	 4.5916e-01	 3.1915e-08	-1.3700e-07	 2.3232e-11	 3.5462e+05	 3.0315e+02	 2.2283e+02
 6.2500e+04	 2.0300e+02	 3.1903e+00	 5.7639e-01	 2.0032e-08	-7.6121e-08	 2.4947e-11	 5.6498e+05	 3.0316e+02	 2.2532e+02
 3.1250e+04	 2.0300e+02	 3.4645e+00	 7.0332e-01	 1.2222e-08	-4.2826e-08	 2.7091e-11	 9.2605e+05	 3.0315e+02	 2.2800e+02
 1.5625e+04	 2.0300e+02	 3.7961e+00	 8.3991e-01	 7.2975e-09	-2.4293e-08	 2.9684e-11	 1.5509e+06	 3.0316e+02	 2.3057e+02
 7.8125e+03	 2.0300e+02	 4.1890e+00	 9.8800e-01	 4.2921e-09	-1.3854e-08	 3.2756e-11	 2.6368e+06	 3.0316e+02	 2.3332e+02
 3.9062e+03	 2.0300e+02	 4.6591e+00	 1.1506e+00	 2.4992e-09	-7.9479e-09	 3.6432e-11	 4.5285e+06	 3.0316e+02	 2.3857e+02
 1.9531e+03	 2.0300e+02	 5.1619e+00	 1.3321e+00	 1.4467e-09	-4.5201e-09	 4.0364e-11	 7.8231e+06	 3.0315e+02	 2.4107e+02
 9.7656e+02	 2.0300e+02	 5.6934e+00	 1.5925e+00	 8.6479e-10	-2.5486e-09	 4.4520e-11	 1.3087e+07	 3.0316e+02	 2.4386e+02
 4.8828e+02	 2.0300e+02	 6.2641e+00	 2.0497e+00	 5.5652e-10	-1.4293e-09	 4.8983e-11	 2.0336e+07	 3.0316e+02	 2.4640e+02
 2.4414e+02	 2.0300e+02	 6.9370e+00	 2.8955e+00	 3.9308e-10	-8.0599e-10	 5.4245e-11	 2.8792e+07	 3.0316e+02	 2.4915e+02
 1.2207e+02	 2.0300e+02	 7.8293e+00	 4.4253e+00	 3.0039e-10	-4.6356e-10	 6.1222e-11	 3.7677e+07	 3.0315e+02	 2.5158e+02
 6.1035e+01	 2.0300e+02	 9.1258e+00	 7.1554e+00	 2.4285e-10	-2.7578e-10	 7.1360e-11	 4.6604e+07	 3.0316e+02	 2.5413e+02
 3.0518e+01	 2.0300e+02	 1.1105e+01	 1.2024e+01	 2.0404e-10	-1.7147e-10	 8.6833e-11	 5.5467e+07	 3.0316e+02	 2.5713e+02
 1.5259e+01	 2.0300e+02	 1.4251e+01	 2.0711e+01	 1.7573e-10	-1.1243e-10	 1.1144e-10	 6.4404e+07	 3.0316e+02	 2.6000e+02
