, 19.12.2024, 13:26
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 1.1040e+02	 6.3515e+00	 1.6394e+00	 2.2256e-10	-7.2650e-10	 4.9666e-11	 5.0853e+07	 3.2314e+02	 1.5436e+02
 1.2207e+02	 1.1040e+02	 7.0592e+00	 2.1584e+00	 1.4651e-10	-4.1129e-10	 5.5200e-11	 7.7248e+07	 3.2315e+02	 1.5682e+02
 6.1035e+01	 1.1040e+02	 7.9850e+00	 2.8539e+00	 9.6858e-11	-2.3706e-10	 6.2439e-11	 1.1685e+08	 3.2314e+02	 1.5969e+02
 3.0518e+01	 1.1040e+02	 9.1166e+00	 3.8501e+00	 6.5335e-11	-1.3774e-10	 7.1288e-11	 1.7323e+08	 3.2315e+02	 1.6263e+02
 1.5259e+01	 1.1040e+02	 1.0470e+01	 5.4400e+00	 4.6157e-11	-8.0353e-11	 8.1873e-11	 2.4520e+08	 3.2315e+02	 1.6565e+02
 7.6294e+00	 1.1040e+02	 1.2161e+01	 8.1964e+00	 3.4772e-11	-4.7351e-11	 9.5096e-11	 3.2548e+08	 3.2315e+02	 1.6835e+02
 1.9073e+00	 1.1040e+02	 1.7611e+01	 2.1683e+01	 2.2997e-11	-1.7617e-11	 1.3771e-10	 4.9214e+08	 3.2315e+02	 1.7165e+02
 4.7684e-01	 1.1040e+02	 3.0207e+01	 6.4685e+01	 1.7151e-11	-7.7442e-12	 2.3620e-10	 6.5988e+08	 3.2314e+02	 1.8075e+02
 1.0000e-01	 1.1040e+02	 7.0702e+01	 2.4704e+02	 1.3737e-11	-3.8759e-12	 5.5286e-10	 8.2388e+08	 3.2315e+02	 2.3165e+02
 1.0000e+06	 2.2900e+02	 2.5060e+00	 1.7335e-01	 9.6393e-08	-8.3744e-07	 1.9596e-11	 1.1741e+05	 3.2315e+02	 2.3875e+02
 5.0000e+05	 2.2900e+02	 2.5777e+00	 2.3694e-01	 6.5877e-08	-4.3864e-07	 2.0156e-11	 1.7180e+05	 3.2315e+02	 2.4119e+02
 2.5000e+05	 2.2900e+02	 2.6822e+00	 3.2663e-01	 4.5407e-08	-2.3385e-07	 2.0974e-11	 2.4925e+05	 3.2316e+02	 2.4396e+02
 1.2500e+05	 2.2900e+02	 2.8364e+00	 4.3940e-01	 3.0541e-08	-1.2765e-07	 2.2180e-11	 3.7057e+05	 3.2315e+02	 2.4650e+02
 6.2500e+04	 2.2900e+02	 3.0513e+00	 5.6745e-01	 1.9721e-08	-7.1291e-08	 2.3860e-11	 5.7389e+05	 3.2315e+02	 2.4919e+02
 3.1250e+04	 2.2900e+02	 3.3316e+00	 7.0046e-01	 1.2172e-08	-4.0516e-08	 2.6052e-11	 9.2983e+05	 3.2315e+02	 2.5175e+02
 1.5625e+04	 2.2900e+02	 3.6782e+00	 8.2752e-01	 7.1899e-09	-2.3270e-08	 2.8762e-11	 1.5741e+06	 3.2315e+02	 2.5447e+02
 7.8125e+03	 2.2900e+02	 4.0861e+00	 9.3755e-01	 4.0729e-09	-1.3407e-08	 3.1952e-11	 2.7787e+06	 3.2315e+02	 2.5700e+02
 3.9062e+03	 2.2900e+02	 4.5553e+00	 1.0200e+00	 2.2157e-09	-7.7225e-09	 3.5621e-11	 5.1080e+06	 3.2315e+02	 2.6238e+02
 1.9531e+03	 2.2900e+02	 5.0172e+00	 1.0693e+00	 1.1613e-09	-4.3629e-09	 3.9233e-11	 9.7454e+06	 3.2315e+02	 2.6488e+02
 9.7656e+02	 2.2900e+02	 5.4515e+00	 1.1446e+00	 6.2153e-10	-2.4173e-09	 4.2628e-11	 1.8209e+07	 3.2316e+02	 2.6738e+02
 4.8828e+02	 2.2900e+02	 5.8889e+00	 1.3372e+00	 3.6306e-10	-1.3274e-09	 4.6049e-11	 3.1173e+07	 3.2315e+02	 2.6982e+02
 2.4414e+02	 2.2900e+02	 6.4271e+00	 1.7078e+00	 2.3184e-10	-7.3676e-10	 5.0257e-11	 4.8817e+07	 3.2315e+02	 2.7271e+02
 1.2207e+02	 2.2900e+02	 7.1651e+00	 2.2591e+00	 1.5334e-10	-4.1848e-10	 5.6028e-11	 7.3806e+07	 3.2315e+02	 2.7519e+02
 6.1035e+01	 2.2900e+02	 8.1298e+00	 2.9990e+00	 1.0178e-10	-2.4198e-10	 6.3572e-11	 1.1119e+08	 3.2315e+02	 2.7800e+02
 3.0518e+01	 2.2900e+02	 9.3069e+00	 4.0861e+00	 6.9340e-11	-1.4097e-10	 7.2777e-11	 1.6322e+08	 3.2315e+02	 2.8257e+02
 1.5259e+01	 2.2900e+02	 1.0723e+01	 5.8281e+00	 4.9450e-11	-8.2502e-11	 8.3853e-11	 2.2887e+08	 3.2315e+02	 2.8577e+02
 7.6294e+00	 2.2900e+02	 1.2517e+01	 8.7948e+00	 3.7311e-11	-4.8859e-11	 9.7876e-11	 3.0333e+08	 3.2315e+02	 2.8871e+02
 1.9073e+00	 2.2900e+02	 1.8382e+01	 2.3586e+01	 2.5016e-11	-1.8435e-11	 1.4374e-10	 4.5242e+08	 3.2315e+02	 2.9215e+02
 4.7684e-01	 2.2900e+02	 3.2191e+01	 7.1240e+01	 1.8889e-11	-8.2704e-12	 2.5172e-10	 5.9916e+08	 3.2315e+02	 3.0125e+02
 1.0000e-01	 2.2900e+02	 7.5315e+01	 2.6879e+02	 1.4946e-11	-4.1324e-12	 5.8893e-10	 7.5723e+08	 3.2313e+02	 3.5221e+02
 1.0000e+06	 3.4970e+02	 2.5130e+00	 1.7817e-01	 9.9071e-08	-8.4135e-07	 1.9651e-11	 1.1424e+05	 3.2313e+02	 3.5919e+02
 5.0000e+05	 3.4970e+02	 2.5872e+00	 2.4390e-01	 6.7811e-08	-4.4130e-07	 2.0231e-11	 1.6690e+05	 3.2313e+02	 3.6169e+02
 2.5000e+05	 3.4970e+02	 2.6952e+00	 3.3574e-01	 4.6673e-08	-2.3565e-07	 2.1075e-11	 2.4249e+05	 3.2312e+02	 3.6432e+02
 1.2500e+05	 3.4970e+02	 2.8542e+00	 4.5036e-01	 3.1303e-08	-1.2888e-07	 2.2319e-11	 3.6155e+05	 3.2313e+02	 3.6682e+02
