, 18.12.2024, 15:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 9.5500e+01	 7.8561e+00	 4.8833e+00	 6.6295e-10	-9.3076e-10	 6.1431e-11	 1.7072e+07	 3.5392e+02	 1.3927e+02
 1.2207e+02	 9.5500e+01	 9.4429e+00	 7.7371e+00	 5.2518e-10	-5.7309e-10	 7.3840e-11	 2.1550e+07	 3.5379e+02	 1.4175e+02
 6.1035e+01	 9.5500e+01	 1.1767e+01	 1.2471e+01	 4.2327e-10	-3.6543e-10	 9.2014e-11	 2.6738e+07	 3.5373e+02	 1.4438e+02
 3.0518e+01	 9.5500e+01	 1.5135e+01	 2.0506e+01	 3.4798e-10	-2.3987e-10	 1.1835e-10	 3.2524e+07	 3.5362e+02	 1.4731e+02
 1.5259e+01	 9.5500e+01	 2.0164e+01	 3.4441e+01	 2.9223e-10	-1.6261e-10	 1.5768e-10	 3.8729e+07	 3.5351e+02	 1.5013e+02
 7.6294e+00	 9.5500e+01	 2.7816e+01	 5.8587e+01	 2.4855e-10	-1.1377e-10	 2.1751e-10	 4.5535e+07	 3.5343e+02	 1.5258e+02
 1.9073e+00	 9.5500e+01	 5.7075e+01	 1.7881e+02	 1.8965e-10	-5.9473e-11	 4.4630e-10	 5.9677e+07	 3.5334e+02	 1.5550e+02
 4.7684e-01	 9.5500e+01	 1.2381e+02	 5.4427e+02	 1.4431e-10	-3.2562e-11	 9.6811e-10	 7.8424e+07	 3.5305e+02	 1.6449e+02
 1.0000e-01	 9.5500e+01	 2.7420e+02	 2.0530e+03	 1.1416e-10	-1.5192e-11	 2.1441e-09	 9.9141e+07	 3.5202e+02	 1.9505e+02
 1.0000e+06	 1.9230e+02	 2.5304e+00	 2.1334e-01	 1.1863e-07	-8.5098e-07	 1.9787e-11	 9.5405e+04	 3.5179e+02	 2.0163e+02
 5.0000e+05	 1.9230e+02	 2.6114e+00	 3.1902e-01	 8.8698e-08	-4.4802e-07	 2.0420e-11	 1.2760e+05	 3.5174e+02	 2.0406e+02
 2.5000e+05	 1.9230e+02	 2.7550e+00	 4.7492e-01	 6.6021e-08	-2.4397e-07	 2.1543e-11	 1.7143e+05	 3.5162e+02	 2.0681e+02
 1.2500e+05	 1.9230e+02	 2.9982e+00	 6.5801e-01	 4.5737e-08	-1.3889e-07	 2.3445e-11	 2.4745e+05	 3.5155e+02	 2.0925e+02
 6.2500e+04	 1.9230e+02	 3.3460e+00	 8.2542e-01	 2.8686e-08	-8.1534e-08	 2.6165e-11	 3.9453e+05	 3.5145e+02	 2.1199e+02
 3.1250e+04	 1.9230e+02	 3.7667e+00	 9.4814e-01	 1.6476e-08	-4.8076e-08	 2.9454e-11	 6.8693e+05	 3.5137e+02	 2.1469e+02
 1.5625e+04	 1.9230e+02	 4.2219e+00	 1.0270e+00	 8.9234e-09	-2.7993e-08	 3.3014e-11	 1.2683e+06	 3.5128e+02	 2.1725e+02
 7.8125e+03	 1.9230e+02	 4.6961e+00	 1.0874e+00	 4.7241e-09	-1.6057e-08	 3.6722e-11	 2.3957e+06	 3.5121e+02	 2.1975e+02
 3.9062e+03	 1.9230e+02	 5.1273e+00	 1.1656e+00	 2.5318e-09	-8.9650e-09	 4.0094e-11	 4.4703e+06	 3.5103e+02	 2.2494e+02
 1.9531e+03	 1.9230e+02	 5.5338e+00	 1.3631e+00	 1.4804e-09	-4.9240e-09	 4.3272e-11	 7.6452e+06	 3.5099e+02	 2.2738e+02
 9.7656e+02	 1.9230e+02	 5.9818e+00	 1.8128e+00	 9.8441e-10	-2.7053e-09	 4.6775e-11	 1.1497e+07	 3.5084e+02	 2.3019e+02
 4.8828e+02	 1.9230e+02	 6.6058e+00	 2.6469e+00	 7.1866e-10	-1.5221e-09	 5.1655e-11	 1.5748e+07	 3.5078e+02	 2.3263e+02
 2.4414e+02	 1.9230e+02	 7.5515e+00	 4.0244e+00	 5.4635e-10	-8.8942e-10	 5.9050e-11	 2.0715e+07	 3.5068e+02	 2.3553e+02
 1.2207e+02	 1.9230e+02	 8.9571e+00	 6.2253e+00	 4.2256e-10	-5.4012e-10	 7.0041e-11	 2.6783e+07	 3.5063e+02	 2.3800e+02
 6.1035e+01	 1.9230e+02	 1.0974e+01	 9.8417e+00	 3.3402e-10	-3.3851e-10	 8.5813e-11	 3.3883e+07	 3.5051e+02	 2.4081e+02
 3.0518e+01	 1.9230e+02	 1.3851e+01	 1.5938e+01	 2.7045e-10	-2.1808e-10	 1.0831e-10	 4.1847e+07	 3.5041e+02	 2.4385e+02
 1.5259e+01	 1.9230e+02	 1.8046e+01	 2.6425e+01	 2.2421e-10	-1.4463e-10	 1.4111e-10	 5.0478e+07	 3.5034e+02	 2.4660e+02
 7.6294e+00	 1.9230e+02	 2.4370e+01	 4.4587e+01	 1.8916e-10	-9.9147e-11	 1.9057e-10	 5.9833e+07	 3.5022e+02	 2.4927e+02
 1.9073e+00	 1.9230e+02	 4.8536e+01	 1.3189e+02	 1.3989e-10	-5.0417e-11	 3.7953e-10	 8.0907e+07	 3.5013e+02	 2.5271e+02
 4.7684e-01	 1.9230e+02	 1.0337e+02	 4.1476e+02	 1.0997e-10	-2.7143e-11	 8.0831e-10	 1.0291e+08	 3.4982e+02	 2.6185e+02
 1.0000e-01	 1.9230e+02	 2.3202e+02	 1.5169e+03	 8.4351e-11	-1.2846e-11	 1.8143e-09	 1.3417e+08	 3.4849e+02	 3.0250e+02
 1.0000e+06	 2.9980e+02	 2.5149e+00	 1.9275e-01	 1.0718e-07	-8.4236e-07	 1.9665e-11	 1.0560e+05	 3.4828e+02	 3.0931e+02
 5.0000e+05	 2.9980e+02	 2.5863e+00	 2.8652e-01	 7.9661e-08	-4.4103e-07	 2.0224e-11	 1.4207e+05	 3.4817e+02	 3.1206e+02
 2.5000e+05	 2.9980e+02	 2.7104e+00	 4.2894e-01	 5.9630e-08	-2.3777e-07	 2.1194e-11	 1.8980e+05	 3.4810e+02	 3.1464e+02
 1.2500e+05	 2.9980e+02	 2.9255e+00	 6.0603e-01	 4.2124e-08	-1.3384e-07	 2.2877e-11	 2.6868e+05	 3.4804e+02	 3.1708e+02
 6.2500e+04	 2.9980e+02	 3.2459e+00	 7.7828e-01	 2.7048e-08	-7.8055e-08	 2.5382e-11	 4.1843e+05	 3.4793e+02	 3.1975e+02
